Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
Kalimantan Tengah,Kotawaringin Barat,60.23,60.27,62.27,72.58,4,4,5,5,28.68,28.45,33.04,38.06,115.20,155.53,188.81,280.62,74.39,74.92,75.35,76.02,8.54,8.66,8.77,8.87,91.96,92.20,92.54,93.22,98.20,98.16,96.79,98.57,79.59,81.55,85.13,81.19,88.08,92.21,92.00,94.37,73.05,73.13,73.29,73.53,0.82,0.82,0.82,0.82,,,146,150,55.78,60.14,65.69,62.72
,Kotawaringin Timur,76.95,73.69,73.03,81.35,6,5,6,6,28.53,29.88,32.46,33.51,10222.83,8735.39,9162.54,9309.73,73.45,73.99,74.47,74.96,8.16,8.17,8.18,8.25,88.75,88.95,89.23,89.54,98.99,99.48,99.40,98.55,78.23,80.71,82.39,74.26,73.23,74.97,75.67,83.44,73.99,74.22,74.38,74.61,0.83,0.83,0.84,0.84,,,210,219,50.90,63.48,61.35,66.21
,Kapuas,78.78,80.59,82.66,74.83,6,6,5,5,32.73,31.19,30.67,33.16,46764.35,44093.39,48720.01,34739.83,71.72,72.40,72.98,73.47,7.64,7.84,7.93,8.04,95.48,95.61,95.77,95.83,99.79,99.77,99.32,98.11,74.29,74.70,75.98,79.21,53.31,60.98,63.31,69.65,72.71,72.75,72.86,73.02,0.81,0.81,0.81,0.82,,,153,169,39.68,43.55,55.93,61.02
,Barito Selatan,64.06,66.35,67.09,69.03,4,4,4,4,29.82,32.95,35.49,31.27,2069.58,1854.2,2000.8,1858.32,73.45,74.01,74.76,75.21,9.01,9.13,9.22,9.35,92.09,92.38,92.69,92.78,99.69,99.39,98.29,98.28,91.67,85.99,87.52,76.10,57.60,62.75,64.30,68.44,72.54,72.63,72.79,73.00,0.81,0.81,0.81,0.82,,,81,78,41.90,43.30,62.79,72.46
,Barito Utara,83.20,83.01,81.65,72.73,6,6,5,5,28.58,31.80,23.79,25.69,2831.79,2522.64,3150.63,4647.92,72.16,72.71,73.17,73.58,8.90,8.91,8.92,8.93,88.22,88.03,88.30,88.54,99.94,99.38,99.38,95.21,83.86,82.29,83.90,80.72,75.01,69.57,73.32,85.04,73.58,73.58,73.65,73.75,0.82,0.82,0.83,0.83,,,111,112,35.86,39.79,46.97,59.98
,Sukamara,60.10,60.04,61.78,69.19,4,4,4,4,36.21,36.55,28.55,38.03,577.61,440.03,637.84,291.56,69.86,70.35,70.83,71.45,8.10,8.17,8.18,8.23,92.31,92.49,92.61,92.95,99.92,99.79,97.98,96.99,69.46,70.15,72.24,73.91,79.96,78.95,81.20,88.48,73.91,74.12,74.37,74.75,0.83,0.83,0.84,0.84,,,47,46,71.99,66.65,76.87,78.61
,Lamandau,74.81,58.90,59.34,72.29,5,3,5,5,24.05,29.17,27.61,29.76,371.93,250.54,288.41,361.51,72.81,73.44,73.95,74.46,8.53,8.67,8.82,8.83,92.24,91.95,92.33,92.94,99.44,98.28,96.73,95.60,89.04,82.47,85.37,75.14,75.20,77.54,79.34,91.96,73.26,73.31,73.59,74.01,0.82,0.82,0.82,0.83,,,103,103,50.54,55.73,60.31,57.76
,Seruyan,62.55,59.25,65.03,64.72,4,3,4,4,25.26,28.14,30.08,27.60,2730.36,3115.7,2775.24,5015.36,69.81,70.24,70.66,71.24,7.99,8.00,8.01,8.08,89.34,89.49,89.73,89.96,99.08,98.94,99.38,97.79,80.46,80.50,82.69,80.32,70.83,75.01,79.33,76.46,72.94,73.09,73.29,73.59,0.81,0.82,0.82,0.82,,,115,114,61.00,65.88,79.01,67.36
,Katingan,77.50,76.74,77.99,76.46,6,6,5,5,27.93,30.22,33.26,32.01,11098.26,12010.32,12049.32,12772.29,73.43,73.90,74.37,74.68,8.78,8.85,8.95,8.96,86.62,86.93,87.43,87.64,98.90,98.88,98.05,98.28,76.19,78.14,77.67,84.88,84.56,72.97,79.43,87.39,73.89,73.98,74.14,74.39,0.83,0.83,0.83,0.84,,,157,160,57.78,53.19,50.16,62.81
,Pulang Pisau,79.76,81.33,81.88,72.71,6,6,5,5,33.96,36.89,38.70,40.87,25300.40,22522.39,25931.17,21166.24,71.05,71.62,72.36,72.99,8.26,8.27,8.42,8.47,92.27,92.40,92.43,92.44,99.52,99.02,97.16,96.78,79.75,76.40,74.47,82.17,60.67,66.10,67.87,71.63,72.77,72.97,73.24,73.62,0.81,0.81,0.82,0.82,,,98,102,45.40,50.76,53.85,62.67
,Gunung Mas,53.74,55.49,56.38,69.42,3,3,4,4,25.11,31.41,27.65,20.51,226.52,203.61,112.72,69.77,72.50,73.18,73.88,74.46,9.24,9.25,9.37,9.40,92.23,92.61,92.72,93.08,99.98,99.79,99.77,94.75,80.20,81.50,77.90,74.93,92.87,85.74,84.83,82.00,73.09,73.31,73.58,73.97,0.82,0.82,0.82,0.83,,,88,88,43.42,43.38,59.69,60.20
,Barito Timur,80.41,80.29,81.16,74.00,6,6,5,5,35.46,39.94,34.90,38.17,4942.69,5099.04,5497.95,6368.92,73.69,74.21,74.81,75.50,9.32,9.45,9.54,9.71,89.00,89.25,89.56,90.11,98.62,97.98,96.45,98.82,77.05,77.76,77.74,84.09,84.20,89.93,91.74,90.62,71.95,72.04,72.21,72.48,0.80,0.80,0.80,0.81,,,84,86,58.43,60.40,61.94,74.27
,Murung Raya,48.08,49.08,51.29,61.09,2,2,3,3,22.58,18.63,16.94,12.54,967.29,561.53,500.53,268.40,70.13,70.91,71.58,72.34,7.66,7.81,7.94,8.12,83.85,84.44,84.98,85.53,99.05,98.97,98.93,96.93,77.94,82.11,84.99,81.41,64.91,63.18,63.69,80.76,73.07,73.23,73.44,73.73,0.82,0.82,0.82,0.83,,,120,126,63.90,72.98,81.13,85.88
,Kota Palangka Raya,79.24,79.61,80.69,76.05,6,6,5,5,31.40,33.45,31.90,37.50,7.94,15.99,0.15,1.01,81.47,81.95,82.53,82.98,11.55,11.65,11.66,11.69,95.63,95.73,95.92,96.31,98.41,98.46,97.35,96.06,76.46,76.05,76.87,77.17,90.55,93.51,91.96,94.99,74.07,74.23,74.49,74.92,0.83,0.83,0.84,0.84,,,55,58,64.70,70.36,79.29,79.48
Kalimantan Selatan,Tanah Laut,82.06,83.45,80.59,79.90,6,6,6,6,36.79,35.08,42.73,40.92,19972.63,15062.41,25091.89,27665.00,72.33,72.98,73.42,74.32,7.90,7.92,7.94,8.09,87.84,88.22,88.54,89.26,98.71,98.51,98.48,,74.35,70.23,73.10,,77.00,74.29,74.12,,74.21,74.46,74.64,74.88,0.83,0.84,0.84,0.84,,,111,118,75.08,79.46,,81.44
,Kota Baru,77.03,69.84,75.34,82.21,6,5,6,6,40.63,40.62,38.89,40.06,4334.48,4126.22,4077.14,5609.00,71.57,72.01,72.42,73.03,7.47,7.55,7.56,7.71,85.26,85.46,85.62,86.07,98.68,98.47,97.51,,75.85,76.74,79.63,,71.57,70.13,73.12,,73.55,73.76,73.88,74.03,0.82,0.83,0.83,0.83,,,107,123,48.65,46.15,,59.26
,Banjar,80.17,81.63,81.54,84.70,6,6,6,6,34.73,36.73,37.79,38.20,37163.25,31108.85,40628.14,43461.00,73.25,74.01,74.41,75.11,7.71,7.94,7.95,8.15,92.27,92.75,92.88,92.92,99.18,99.03,97.44,,72.36,71.73,72.45,,81.37,82.57,83.18,,73.04,73.33,73.55,73.87,0.82,0.82,0.82,0.83,,,136,143,46.01,49.99,,59.49
,Barito Kuala,81.02,80.84,82.85,84.42,6,6,6,6,32.55,34.65,37.36,35.49,57402.57,54335.98,58873,91057.00,69.87,70.67,71.40,72.05,7.63,7.74,7.92,7.99,90.07,89.92,90.28,90.56,99.59,98.77,98.82,,77.52,75.24,74.37,,52.75,56.66,57.71,,71.94,72.28,72.52,72.85,0.80,0.80,0.81,0.81,,,85,87,46.92,52.18,,64.28
,Tapin,84.60,88.10,88.58,82.60,6,6,6,6,39.46,42.83,41.46,42.43,25656.31,25161.64,27639.43,25764.00,72.61,73.52,74.06,74.98,7.95,8.05,8.15,8.38,84.99,85.78,86.14,86.43,99.38,99.09,97.95,,72.86,77.52,75.46,,79.81,80.67,80.86,,74.39,74.47,74.72,75.09,0.84,0.84,0.84,0.85,,,56,57,55.72,59.84,,76.48
,Hulu Sungai Selatan,79.59,81.31,83.19,84.56,6,6,6,6,46.19,47.09,47.11,47.26,12657.55,18224.8,19905.34,19619.00,72.47,73.21,73.95,74.81,7.79,7.86,8.09,8.18,90.19,89.74,90.21,90.54,99.74,99.60,98.83,,74.67,82.23,81.57,,80.92,82.86,84.45,,72.15,72.52,72.82,73.27,0.80,0.81,0.81,0.82,,,93,95,88.43,92.97,,98.39
,Hulu Sungai Tengah,79.60,79.06,81.30,85.67,6,6,6,6,47.28,46.86,47.53,44.51,23213.63,23153.01,24709.56,23357.00,72.32,72.76,73.33,74.26,8.28,8.29,8.35,8.45,96.66,96.20,96.31,96.77,99.75,99.53,98.37,,72.52,72.28,74.95,,79.85,83.86,86.68,,72.00,72.33,72.60,73.02,0.80,0.81,0.81,0.82,,,65,69,83.51,86.17,,96.76
,Hulu Sungai Utara,82.05,74.23,81.20,79.74,6,5,6,6,46.18,55.97,52.29,55.68,5.55,14468.01,15162.99,15241.00,70.33,71.12,71.74,72.67,7.76,7.77,7.78,8.00,92.24,91.90,91.99,92.86,98.45,98.57,99.30,,75.24,80.48,80.47,,90.55,92.37,97.70,,71.89,72.21,72.49,72.95,0.80,0.80,0.81,0.81,,,65,66,88.22,89.56,,89.45
,Tabalong,82.79,84.31,85.94,85.23,6,6,6,6,44.01,46.28,47.29,47.68,12347.55,12788.99,12856.14,10633.00,74.82,75.43,75.97,76.94,9.12,9.14,9.15,9.37,86.72,87.18,87.61,87.91,99.97,99.52,98.75,,79.36,85.70,82.01,,95.11,95.03,93.13,,74.45,74.63,74.76,74.95,0.84,0.84,0.84,0.85,,,60,60,72.62,76.93,,85.08
,Tanah Bumbu,83.53,83.73,83.15,83.18,6,6,6,6,40.03,40.45,40.26,42.50,9848.92,9659.49,9688.67,13823.00,73.34,73.86,74.50,75.09,8.25,8.30,8.43,8.44,85.85,86.34,86.48,87.05,99.41,99.80,99.63,,78.44,79.52,78.47,,90.88,92.81,92.42,,74.06,74.28,74.44,74.68,0.83,0.84,0.84,0.84,,,73,74,61.07,58.76,,65.40
,Balangan,81.38,81.94,82.70,86.42,6,6,6,6,36.05,35.68,36.24,38.35,4313.59,4502.8,4727.98,11011.00,72.20,72.97,73.83,74.78,7.85,8.03,8.13,8.34,93.41,93.62,93.44,93.89,97.49,98.90,98.52,,74.84,78.35,79.55,,91.80,95.66,96.06,,73.42,73.69,73.87,74.14,0.82,0.83,0.83,0.83,,,33,32,91.74,93.40,,93.65
,Kota Banjarmasin,79.20,85.62,85.62,76.78,6,6,5,5,32.79,41.10,42.57,43.87,1504.48,1140.29,1732.53,1950.00,79.46,79.98,80.53,80.88,10.21,10.24,10.35,10.36,94.59,94.71,95.29,95.49,99.06,99.36,99.53,,79.75,81.00,83.80,,89.96,88.66,87.56,,74.60,74.88,75.07,75.38,0.84,0.84,0.85,0.85,,,147,148,61.54,68.42,,69.08
,Kota Banjar Baru,80.65,82.35,86.34,77.00,6,6,5,5,32.58,24.48,31.17,29.78,944.95,551.33,1019.61,1143.00,80.82,81.25,81.65,82.20,10.98,10.99,11.00,11.07,93.68,93.78,93.85,94.03,98.67,99.72,99.64,,78.80,79.76,78.62,,92.39,89.77,89.54,,74.64,74.90,75.11,75.44,0.84,0.84,0.85,0.85,,,63,64,63.97,66.41,,74.28
Kalimantan Timur,Paser,81.76,83.70,80.04,83.46,6,6,6,6,41.33,43.45,46.63,46.34,11663.91,6584.52,11342.28,14599.00,73.85,74.56,75.13,75.85,8.80,8.91,8.92,9.04,72.27,73.15,74.03,74.78,97.63,97.61,98.40,97.78,81.58,77.28,76.21,74.89,82.29,87.44,85.95,,73.78,73.89,74.10,74.39,0.83,0.83,0.83,0.84,,,156,155,77.63,79.69,,79.64
,Kutai Barat,66.94,58.39,60.87,78.00,4,3,6,6,26.90,30.95,30.01,30.61,477.55,426.23,449.25,1727.00,73.16,73.97,74.76,75.38,8.78,8.85,8.89,9.01,85.02,85.73,86.23,86.96,99.06,98.29,99.20,97.79,81.87,80.79,81.29,87.97,88.14,91.93,94.28,,73.63,73.73,73.93,74.23,0.83,0.83,0.83,0.83,,,176,181,81.89,87.66,,90.61
,Kutai Kartanegara,84.44,85.53,87.17,86.50,6,6,6,6,37.53,43.36,40.93,42.18,27981.31,26547.34,26031.16,26287.00,75.31,75.95,76.57,77.25,9.24,9.26,9.27,9.28,80.30,81.08,81.71,82.41,97.27,97.12,97.67,98.58,87.79,87.06,87.71,72.99,88.97,87.80,89.24,,74.00,74.12,74.33,74.65,0.83,0.83,0.84,0.84,,,316,335,69.12,75.40,,76.99
,Kutai Timur,60.09,65.76,61.64,80.17,4,4,6,6,35.35,29.00,36.78,36.12,3415.90,3505.89,3790.01,4198.00,74.69,75.33,75.90,76.48,9.44,9.45,9.47,9.48,77.67,78.46,79.10,79.44,97.61,97.58,98.73,97.05,74.29,75.82,77.47,85.69,88.66,86.64,89.51,,74.22,74.33,74.55,74.87,0.83,0.84,0.84,0.84,,,186,193,61.54,72.11,,79.46
,Berau,86.16,85.33,81.91,82.00,6,6,6,6,33.93,34.01,29.42,38.24,6229.84,6027.48,5674.14,3110.00,76.24,76.71,77.17,77.72,9.54,9.56,9.57,9.58,88.08,88.43,88.88,89.16,99.03,99.65,99.98,99.35,79.38,80.88,82.94,91.40,87.44,93.41,90.04,,73.35,73.45,73.66,73.95,0.82,0.82,0.83,0.83,,,146,137,48.39,56.41,,68.33
,Penajam Paser Utara,85.51,87.40,88.11,82.23,6,6,6,6,33.38,36.02,36.37,35.06,13531.22,12521.93,13235.19,13570.00,73.56,74.33,74.94,75.82,8.51,8.53,8.57,8.72,87.23,87.41,87.80,88.32,99.91,99.46,99.62,97.00,83.07,83.32,87.27,74.36,86.77,87.60,88.69,,73.90,74.03,74.27,74.60,0.83,0.83,0.83,0.84,,,80,83,91.39,94.33,,91.31
,Mahakam Hulu,53.29,57.68,56.53,66.31,3,3,4,4,24.29,29.86,24.07,36.36,201.45,227.99,283.33,191.00,69.17,70.02,70.79,71.53,8.36,8.49,8.50,8.71,82.60,83.28,83.89,84.35,99.61,99.01,97.30,97.82,89.29,85.54,85.86,88.77,90.30,85.45,75.80,,73.32,73.44,73.64,73.91,0.82,0.82,0.83,0.83,,,56,52,93.96,87.79,,97.62
,Kota Balikpapan,89.47,91.40,91.23,78.93,6,6,6,6,34.75,37.11,25.34,39.36,86.93,41.45,49.61,65.00,81.49,82.03,82.62,83.23,10.92,10.93,10.99,11.04,90.59,90.80,91.04,91.71,99.87,99.81,99.34,98.07,86.21,86.56,83.81,85.56,89.86,93.79,96.28,,75.52,75.64,75.87,76.24,0.85,0.86,0.86,0.87,,,111,118,76.47,86.52,,87.65
,Kota Samarinda,84.66,88.97,89.68,77.63,6,6,6,6,41.84,44.78,42.44,41.42,1312.78,1157.71,2186.68,2769.00,81.72,82.61,83.11,83.53,10.71,10.93,10.95,11.04,90.40,90.68,91.01,91.15,98.69,98.97,98.10,95.31,82.05,83.79,84.71,86.53,97.51,96.87,94.80,,75.15,75.27,75.51,75.89,0.85,0.85,0.85,0.86,,,145,166,79.99,80.10,,84.51
,Kota Bontang,84.21,88.76,88.89,77.94,6,6,6,6,36.95,37.10,...,29.39,69.12,41.47,–,–,81.00,81.63,82.49,83.04,10.81,10.92,10.97,11.03,88.05,88.34,88.84,89.49,98.79,98.72,98.14,97.49,76.01,83.62,86.85,83.90,88.29,88.49,90.47,,74.69,74.81,75.03,75.36,0.84,0.84,0.85,0.85,,,32,38,86.95,90.53,,98.21
Kalimantan Utara,Malinau,67.25,73.08,74.67,68.84,4,5,4,4,35.07,34.88,37.51,41.47,1520.93,1451.05,1512.75,1753.00,73.55,74.00,74.72,75.21,9.41,9.43,9.63,9.64,84.29,84.54,84.74,84.78,,,,,,,,,89.90,89.24,89.29,,73.23,73.25,73.27,73.33,0.82,0.82,0.82,0.82,,,107,113,92.82,92.86,,94.08
,Bulungan,77.00,77.11,76.61,70.82,6,6,5,5,34.79,38.36,35.91,36.35,3341.49,2632.03,3323.21,5146.00,72.56,73.20,73.83,74.53,9.20,9.21,9.23,9.42,86.31,86.81,87.12,87.66,,,,,,,,,92.37,93.54,94.91,,73.80,73.83,73.87,73.99,0.83,0.83,0.83,0.83,,,83,84,80.38,84.72,,87.44
,Tana Tidung,57.17,60.54,61.25,64.83,3,4,4,4,30.35,26.60,32.42,33.88,186.78,153.41,91.12,136.00,69.45,70.06,70.95,71.86,8.97,9.04,9.24,9.41,80.61,80.82,81.40,81.88,,,,,,,,,70.89,90.67,96.03,,73.44,73.47,73.51,73.64,0.82,0.82,0.82,0.83,,,28,28,88.36,94.75,,96.11
,Nunukan,75.87,76.17,78.80,76.03,6,6,5,5,36.62,35.48,36.31,36.57,3535.35,2251.65,3347.12,3165.00,67.88,68.43,69.27,69.87,8.24,8.26,8.39,8.40,85.20,85.41,85.96,86.52,,,,,,,,,72.59,74.31,76.42,,73.09,73.11,73.13,73.21,0.82,0.82,0.82,0.82,,,129,139,76.96,80.31,,86.85
,Kota Tarakan,77.90,86.06,87.53,72.90,6,6,5,5,31.36,40.24,32.00,31.45,19.64,11.78,7.85,10.00,76.75,77.61,78.03,78.62,10.08,10.36,10.37,10.46,93.31,94.00,94.05,94.33,,,,,,,,,83.95,84.57,84.64,,74.21,74.24,74.27,74.40,0.83,0.83,0.83,0.84,,,43,43,83.18,85.16,,87.24
Sulawesi Utara,Bolaang Mongondow,83.26,84.87,84.02,79.08,6,6,6,6,40.73,44.56,47.38,45.27,32525.32,30219.25,34513.37,33015.00,69.82,70.48,71.14,71.83,8.17,8.37,8.38,8.49,88.55,88.61,89.18,89.25,96.29,96.21,94.56,,77.70,75.71,76.65,,72.47,79.77,79.01,,71.68,71.94,72.16,72.48,0.80,0.80,0.80,0.81,,,89,91,60.78,67.43,,72.44
,Minahasa,83.30,84.69,79.61,73.81,6,6,5,5,46.81,45.61,48.02,47.73,7434.01,7052.92,6582.74,6517.00,77.72,78.48,79.26,79.73,9.82,10.10,10.24,10.25,97.14,97.34,97.80,97.88,93.25,93.71,96.51,,71.26,71.32,71.18,,91.62,90.24,89.37,,74.68,74.96,75.22,75.60,0.84,0.85,0.85,0.86,,,92,93,87.16,84.86,,88.48
,Kepulauan Sangihe,56.15,53.22,60.47,64.08,3,3,4,4,-,41.05,43.03,37.40,–,0.19,8.65,7.00,73.35,73.94,74.43,75.18,8.47,8.62,8.66,8.70,96.59,96.29,96.66,96.76,97.93,97.87,97.02,,72.33,74.12,75.87,,78.17,79.12,82.68,,74.24,74.49,74.70,75.02,0.83,0.84,0.84,0.85,,,108,111,82.60,84.00,,88.52
,Kepulauan Talaud,79.72,76.51,79.36,65.94,6,6,4,4,-,...,44.48,42.94,–,–,0.29,42.00,71.53,72.22,72.83,73.68,9.79,9.96,10.01,9.97,98.19,98.26,98.49,98.51,96.57,96.76,95.36,,81.93,82.92,85.16,,89.50,91.55,93.11,,72.96,73.25,73.51,73.92,0.81,0.82,0.82,0.83,,,57,60,71.95,77.78,,73.35
,Minahasa Selatan,79.91,83.20,72.82,67.01,6,6,4,4,42.26,40.05,41.31,40.20,3078.63,3026.13,3148.24,2379.00,74.50,75.25,75.79,76.47,9.28,9.44,9.54,9.53,89.16,89.81,90.36,90.69,98.58,98.53,98.12,,72.47,68.19,69.10,,81.04,86.05,90.25,,73.76,74.07,74.35,74.74,0.83,0.83,0.84,0.84,,,61,59,65.42,71.59,,78.36
,Minahasa Utara,83.69,83.29,78.79,79.60,6,6,6,6,40.72,41.26,38.58,37.50,1352.44,1004.62,1014.17,854.00,75.92,76.50,77.05,77.76,10.18,10.30,10.36,10.36,96.95,97.23,97.43,97.28,96.24,96.37,95.83,,73.46,75.63,77.19,,81.67,83.11,86.72,,74.26,74.50,74.70,75.02,0.83,0.84,0.84,0.85,,,61,67,78.26,83.28,,88.04
,Bolaang Mongondow Utara,80.09,81.60,80.12,74.98,6,6,5,5,48.92,34.60,42.03,39.09,5116.39,5546.06,5545.86,8992.00,70.39,70.97,71.66,72.28,8.48,8.49,8.52,8.63,87.51,87.81,88.22,88.47,98.13,98.12,97.61,,79.48,82.11,81.89,,70.92,71.33,72.10,,73.15,73.41,73.63,73.93,0.82,0.82,0.83,0.83,,,48,54,72.86,70.20,,76.76
,Kepulauan Sitaro,52.61,52.79,53.11,58.34,3,3,3,3,-,...,...,...,–,–,–,–,70.18,70.81,71.55,72.17,9.26,9.31,9.49,9.51,89.42,89.68,90.14,90.54,95.37,95.36,96.36,,78.32,80.19,81.33,,91.84,96.92,96.56,,74.08,74.40,74.67,75.10,0.83,0.84,0.84,0.85,,,43,34,57.92,68.26,,79.22
,Minahasa Tenggara,80.55,80.44,75.82,71.43,6,6,5,5,45.80,46.85,43.61,46.83,1605.90,1566.52,1511.36,1870.00,72.56,72.97,73.68,74.28,9.08,9.09,9.10,9.16,92.43,92.58,93.08,93.35,95.21,95.50,96.22,,76.40,78.18,78.76,,86.15,89.35,93.12,,72.84,73.11,73.36,73.71,0.81,0.82,0.82,0.83,,,37,41,64.42,70.94,,76.91
,Bolaang Mongondow Selatan,67.75,72.88,71.81,73.87,5,5,5,5,37.86,41.94,42.03,40.91,2001.78,1995.4,2402.96,1518.00,68.66,69.17,69.92,70.54,8.21,8.23,8.29,8.38,80.64,81.11,81.72,82.28,95.42,95.46,94.44,,75.16,78.48,79.60,,68.62,71.05,73.31,,70.61,70.80,70.94,71.14,0.78,0.78,0.78,0.79,,,55,56,73.63,79.79,,85.74
,Bolaang Mongondow Timur,77.76,79.36,75.22,68.32,6,6,4,4,48.92,44.62,41.76,41.54,783.22,737.12,794.82,904.00,69.35,70.09,70.68,71.43,8.05,8.27,8.34,8.30,91.14,91.60,92.06,92.46,97.10,97.22,99.00,,69.69,77.01,75.91,,70.14,73.76,74.08,,73.00,73.25,73.45,73.73,0.82,0.82,0.82,0.83,,,37,42,74.03,88.96,,83.01
,Kota Manado,77.55,85.33,87.56,70.64,6,6,5,5,-,...,42.24,36.69,–,–,9.03,6.00,80.96,81.40,81.86,82.40,11.50,11.51,11.53,11.52,97.31,97.37,97.75,98.00,93.69,94.40,93.98,,79.81,81.28,82.84,,87.17,90.28,92.74,,74.78,75.02,75.24,75.58,0.84,0.85,0.85,0.86,,,142,138,76.59,81.01,,82.14
,Kota Bitung,66.44,80.89,82.00,73.62,5,6,5,5,39.46,45.82,44.31,42.84,59.20,19.02,71.87,18.00,75.94,76.33,76.90,77.57,9.90,9.95,9.97,10.05,95.12,95.30,95.51,95.64,96.49,96.12,96.27,,77.53,77.16,77.72,,95.76,92.16,91.73,,73.98,74.22,74.43,74.76,0.83,0.83,0.84,0.84,,,78,76,81.82,87.59,,92.00
,Kota Tomohon,72.89,83.14,83.92,80.08,6,6,6,6,48.48,57.90,59.38,59.01,494.86,472.8,498.91,546.00,78.65,79.29,80.06,80.65,10.82,10.97,11.06,11.04,99.95,100.25,100.40,100.76,88.90,89.98,94.18,,81.93,80.24,78.54,,94.31,94.09,95.89,,74.93,75.28,75.57,75.99,0.85,0.85,0.85,0.86,,,55,50,81.43,87.83,,91.72
,Kota Kotamobagu,72.85,77.61,80.21,75.43,6,6,5,5,49.40,48.17,47.75,44.33,3743.81,2922.92,3019.69,3245.00,75.56,76.01,76.86,77.49,10.28,10.29,10.33,10.36,96.17,96.31,96.51,96.63,95.06,95.66,96.78,,75.16,73.85,75.77,,70.94,74.47,74.15,,74.37,74.70,74.97,75.37,0.84,0.84,0.85,0.85,,,43,49,73.23,73.83,,82.56
Sulawesi Tengah,Banggai Kepulauan,60.87,53.61,66.50,69.73,4,3,5,5,34.06,37.09,30.37,35.75,291.58,543.54,620.8,360.00,66.30,67.05,67.65,68.44,8.46,8.62,8.70,8.88,92.20,92.35,92.86,93.11,,,,,,,,,75.05,76.83,79.52,,67.19,67.35,67.54,67.83,0.73,0.73,0.73,0.74,,,71,81,,,,
,Banggai,85.73,85.72,85.14,76.35,6,6,5,5,38.98,45.35,41.12,45.38,36173.12,39417.81,38678.71,42479.00,71.58,72.19,72.86,73.44,8.54,8.63,8.81,8.94,90.86,91.49,91.73,91.76,,,,,,,,,81.07,81.45,83.18,,71.95,72.09,72.26,72.52,0.80,0.80,0.80,0.81,,,178,188,,,,
,Morowali,81.51,82.36,81.44,77.54,6,6,6,6,42.71,41.50,40.15,43.59,8308.11,6359.32,7426.05,6631.00,73.39,73.82,74.36,74.70,9.35,9.37,9.38,9.39,85.14,85.19,85.42,86.10,,,,,,,,,76.58,72.71,75.16,,70.95,71.00,71.09,71.34,0.78,0.78,0.79,0.79,,,81,82,,,,
,Poso,82.80,83.57,84.60,68.69,6,6,4,4,42.46,47.86,36.85,41.59,18342.81,19650.09,17670.17,20210.00,72.75,73.25,73.65,74.55,9.52,9.53,9.54,9.84,96.79,97.29,97.23,97.42,,,,,,,,,91.47,91.34,92.08,,72.97,72.98,73.02,73.34,0.81,0.82,0.82,0.82,,,117,124,,,,
,Donggala,75.30,72.27,73.97,61.94,5,5,4,4,46.34,48.48,48.49,49.12,12357.90,12435.07,11527.16,14124.00,67.49,68.17,68.71,69.23,7.98,7.99,8.00,8.01,88.91,89.15,89.50,89.56,,,,,,,,,64.40,64.44,65.14,,70.32,70.52,70.74,71.03,0.77,0.78,0.78,0.79,,,98,98,,,,
,Tolitoli,78.64,79.18,79.39,66.07,6,6,4,4,44.22,39.88,46.98,47.17,13102.71,13899.06,12871.2,14984.00,68.77,69.68,70.38,71.09,8.76,8.77,8.91,9.00,90.46,90.61,90.60,90.93,,,,,,,,,64.45,63.47,67.40,,70.71,71.09,71.31,71.62,0.78,0.79,0.79,0.79,,,113,118,,,,
,Buol,82.79,83.11,79.97,67.64,6,6,4,4,37.15,34.81,41.07,36.23,4521.98,5260.54,3745.97,8215.00,69.37,70.18,70.89,71.47,9.08,9.09,9.20,9.21,89.55,89.87,90.22,90.85,,,,,,,,,73.48,76.01,76.52,,70.73,71.06,71.30,71.62,0.78,0.79,0.79,0.79,,,87,95,,,,
,Parigi Moutong,76.83,77.59,78.91,70.96,6,6,5,5,47.49,47.70,47.42,50.77,51599.36,52561.15,53093.16,59941.00,68.29,69.06,69.48,69.99,7.77,8.04,8.05,8.07,92.76,92.74,92.66,93.02,,,,,,,,,67.54,68.94,69.14,,68.55,68.62,68.72,69.09,0.75,0.75,0.75,0.76,,,132,142,,,,
,Tojo Una-una,74.80,76.93,73.78,69.24,5,6,4,4,41.96,46.74,44.08,44.87,1353.12,1625.88,1925.02,1775.00,67.62,68.47,69.04,69.76,8.41,8.51,8.56,8.58,91.17,91.65,92.02,92.34,,,,,,,,,68.35,70.02,71.02,,70.60,70.89,71.05,71.30,0.78,0.78,0.79,0.79,,,89,81,,,,
,Sigi,77.94,78.17,80.06,76.23,6,6,5,5,48.49,52.64,47.09,43.44,16511.28,18040.67,17772.09,22080.00,69.40,70.28,70.90,71.68,8.84,9.03,9.04,9.05,94.10,94.30,94.37,94.72,,,,,,,,,71.82,70.06,72.20,,70.91,71.11,71.33,71.63,0.78,0.79,0.79,0.79,,,98,98,,,,
